index,name,gender,label
1,philip s. yu,m,0
2,jiawei han,m,2
3,christos faloutsos,m,2
4,rakesh agrawal,m,0
5,h. v. jagadish,none,1
6,divesh srivastava,m,0
7,hans-peter kriegel,m,2
8,hector garcia-molina,m,0
9,surajit chaudhuri,m,1
10,raghu ramakrishnan,m,0
11,gerhard weikum,m,0
12,w. bruce croft,none,4
13,jeffrey f. naughton,m,0
14,qiang yang,none,3
15,wei wang,none,2
16,divyakant agrawal,none,0
17,nick koudas,m,0
18,david j. dewitt,none,0
19,clement t. yu,none,1
20,michael stonebraker,m,1
21,michael j. carey,m,1
22,beng chin ooi,none,0
23,jian pei,none,0
24,kian-lee tan,none,1
25,haixun wang,none,2
26,hongjun lu,none,1
27,serge abiteboul,m,0
28,amr el abbadi,m,0
29,elke a. rundensteiner,f,1
30,charu c. aggarwal,f,0
31,wei-ying ma,none,4
32,heikki mannila,m,0
33,jennifer widom,f,1
34,bing liu,none,0
35,ming-syan chen,none,0
36,zheng chen,none,0
37,rajeev rastogi,m,0
38,c. lee giles,m,0
39,johannes gehrke,m,0
40,ke wang,none,2
41,abraham silberschatz,m,0
42,eamonn j. keogh,m,0
43,laks v. s. lakshmanan,f,0
44,umeshwar dayal,m,0
45,michael j. franklin,m,0
46,jeffrey xu yu,none,1
47,chengxiang zhai,none,4
48,yannis e. ioannidis,m,1
49,dennis shasha,none,0
50,huan liu,none,0
51,minos n. garofalakis,none,0
52,c. mohan,none,1
53,dan suciu,none,0
54,pedro domingos,m,0
55,joseph m. hellerstein,none,0
56,yehoshua sagiv,m,1
57,hamid pirahesh,m,1
58,rong jin,none,0
59,dimitrios gunopulos,m,2
60,ling liu,none,1
61,raymond j. mooney,m,3
62,ravi kumar,none,0
63,james allan,m,0
64,philip a. bernstein,m,0
65,carlo zaniolo,m,1
66,vipin kumar,m,0
67,stanley b. zdonik,m,0
68,srinivasan parthasarathy,m,0
69,tuomas sandholm,m,3
70,jeffrey d. ullman,m,1
71,tao li,none,2
72,donald kossmann,m,0
73,dimitris papadias,m,1
74,anthony k. h. tung,none,0
75,elisa bertino,f,0
76,krithi ramamritham,none,0
77,raymond t. ng,m,0
78,s. muthukrishnan,none,1
79,daniel s. weld,none,0
80,georg gottlob,m,1
81,yufei tao,none,1
82,s. sudarshan,none,0
83,tova milo,f,0
84,kotagiri ramamohanarao,none,0
85,alberto o. mendelzon,m,1
86,per-?ke larson,none,0
87,david b. lomet,none,1
88,sunita sarawagi,f,0
89,shamkant b. navathe,m,0
90,andrew w. moore,none,3
91,yannis papakonstantinou,m,0
92,andrew mccallum,none,3
93,james p. callan,m,0
94,martin ester,m,2
95,hongyuan zha,none,0
96,wenfei fan,none,1
97,charles x. ling,none,3
98,dan roth,none,0
99,wei fan,none,0
100,yong yu,none,4
101,amit p. sheth,m,0
102,ada wai-chee fu,none,0
103,jaime g. carbonell,m,0
104,stefano ceri,m,0
105,pat langley,f,0
106,craig boutilier,m,3
107,soumen chakrabarti,m,0
108,rajeev motwani,m,0
109,bernhard seeger,m,1
110,masaru kitsuregawa,m,0
111,maarten de rijke,m,0
112,nikos mamoulis,m,1
113,patrick valduriez,m,1
114,guy m. lohman,none,0
115,miron livny,m,0
116,david maier,none,1
117,jayant r. haritsa,m,0
118,hans-j?rg schek,none,0
119,moshe y. vardi,m,0
120,alfons kemper,m,0
121,nick roussopoulos,m,0
122,guido moerkotte,m,1
123,jun yang,none,0
124,stuart j. russell,m,0
125,thomas s. huang,none,3
126,m. tamer ?zsu,none,1
127,alon y. halevy,m,1
128,ramakrishnan srikant,m,0
129,peter stone,m,3
130,wynne hsu,f,2
131,takeo kanade,m,3
132,k. sel?uk candan,none,0
133,walid g. aref,m,0
134,ji-rong wen,none,0
135,hector j. levesque,m,0
136,kenneth a. ross,m,0
137,sharad mehrotra,m,0
138,peter j. haas,m,0
139,iadh ounis,none,4
140,kyuseok shim,none,0
141,kevin chen-chuan chang,none,0
142,richard hull,none,0
143,henry f. korth,m,0
144,daphne koller,f,0
145,yoav shoham,m,3
146,changshui zhang,none,3
147,mohammed javeed zaki,m,2
148,andrew tomkins,none,0
149,weiyi meng,none,0
150,russell greiner,m,3
151,william w. cohen,m,0
152,subbarao kambhampati,m,0
153,rina dechter,f,0
154,thomas g. dietterich,none,0
155,alon y. levy,m,0
156,padhraic smyth,m,0
157,ophir frieder,m,0
158,richard e. korf,none,0
159,v. s. subrahmanian,none,0
160,wai lam,none,0
161,toby walsh,m,3
162,mong-li lee,none,0
163,xifeng yan,none,2
164,hiroshi motoda,m,2
165,victor vianu,m,1
166,gerald dejong,m,0
167,jaideep srivastava,m,0
168,andrew y. ng,none,0
169,judea pearl,f,0
170,justin zobel,m,0
171,won kim,none,0
172,sihem amer-yahia,f,1
173,henry a. kautz,m,0
174,zhi-hua zhou,none,3
175,jiong yang,none,0
176,ronald fagin,m,1
177,tomasz imielinski,m,0
178,norbert fuhr,m,0
179,gio wiederhold,m,0
180,michael j. pazzani,m,0
181,george karypis,none,0
182,mark sanderson,none,4
183,theodore johnson,m,0
184,ren¨¦e j. miller,none,1
185,dana s. nau,f,0
186,aoying zhou,none,2
187,luis gravano,m,1
188,saso dzeroski,f,0
189,christian s. jensen,m,1
190,craig a. knoblock,m,0
191,luc de raedt,m,0
192,chris h. q. ding,none,2
193,daniela florescu,f,1
194,kenneth d. forbus,m,0
195,jim gray,m,0
196,shusaku tsumoto,none,2
197,tobias scheffer,m,0
198,guozhu dong,none,0
199,maurizio lenzerini,m,1
200,yiming yang,none,0
201,timos k. sellis,m,0
202,hang li,none,0
203,susan t. dumais,f,4
204,joseph y. halpern,none,3
205,barry smyth,m,4
206,ahmed k. elmagarmid,m,1
207,bart selman,m,0
208,mounia lalmas,f,0
209,victor r. lesser,m,0
210,stanley y. w. su,none,0
211,vivek r. narasayya,m,0
212,samuel madden,m,1
213,jude w. shavlik,none,0
214,aristides gionis,m,0
215,charles l. a. clarke,m,4
216,ee-peng lim,none,0
217,jianyong wang,none,0
218,michael l. littman,m,0
219,georges gardarin,m,1
220,thorsten joachims,m,0
221,catriel beeri,m,0
222,jeffrey scott vitter,m,0
223,xindong wu,none,0
224,ronen feldman,m,2
225,jayavel shanmugasundaram,none,0
226,nick cercone,m,2
227,wolfgang nejdl,m,4
228,anhai doan,m,0
229,gautam das,m,0
230,flip korn,m,1
231,tom m. mitchell,m,0
232,doron rotem,m,1
233,christian b?hm,none,1
234,vincent conitzer,m,3
235,joemon m. jose,m,0
236,hui xiong,none,0
237,salvatore j. stolfo,m,2
238,volker markl,m,0
239,ambuj k. singh,m,1
