ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test
0.05,42.0,0.00038889074080247115,0.00038207273575785857,0.0003917241685833972,0.0003996933231107704,3.3333333333333335e-05,3.32594743314374e-05,3.340721947776249e-05,3.340716519269605e-05
0.05,0.0,0.00038889074080247115,0.0003878951520606242,0.00038038601286709555,0.00039938664622154074,3.3333333333333335e-05,3.336218947408858e-05,3.331525747991017e-05,3.3293696905245997e-05
0.05,1.0,0.00038889074080247115,0.0003887018456170761,0.0003822971876840339,0.0003958620842916986,3.3333333333333335e-05,3.3346612961128634e-05,3.335465963705323e-05,3.328544777402283e-05
0.05,2.0,0.00038889074080247115,0.0003929597653255109,0.0003767725590853028,0.00039287087347356016,3.3333333333333335e-05,3.338230967000636e-05,3.325346376919404e-05,3.331525022412659e-05
0.05,100.0,0.00038889074080247115,0.00039361089814104913,0.0003823549673878018,0.00038598619953998463,3.3333333333333335e-05,3.3393825083056155e-05,3.324212975974888e-05,3.330355340747214e-05
0.1,42.0,0.00038889074080247115,0.00038207273575785857,0.0003917241685833972,0.0003996933231107704,3.3333333333333335e-05,3.32594743314374e-05,3.340721947776249e-05,3.340716519269605e-05
0.1,0.0,0.00038889074080247115,0.0003878951520606242,0.00038038601286709555,0.00039938664622154074,3.3333333333333335e-05,3.336218947408858e-05,3.331525747991017e-05,3.3293696905245997e-05
0.1,1.0,0.00038889074080247115,0.0003887018456170761,0.0003822971876840339,0.0003958620842916986,3.3333333333333335e-05,3.3346612961128634e-05,3.335465963705323e-05,3.328544777402283e-05
0.1,2.0,0.00038889074080247115,0.0003929597653255109,0.0003767725590853028,0.00039287087347356016,3.3333333333333335e-05,3.338230967000636e-05,3.325346376919404e-05,3.331525022412659e-05
0.1,100.0,0.00038889074080247115,0.00039361089814104913,0.0003823549673878018,0.00038598619953998463,3.3333333333333335e-05,3.3393825083056155e-05,3.324212975974888e-05,3.330355340747214e-05
0.15,42.0,0.00042275409180306007,0.0004159227529806549,0.0004255430736580108,0.0004336277875929197,3.3333333333333335e-05,3.325539984962684e-05,3.341307035511396e-05,3.340946327896572e-05
0.15,0.0,0.00042275409180306007,0.0004217540584686156,0.00041423158549729435,0.0004332766647777148,3.3333333333333335e-05,3.336080134194484e-05,3.330767573893997e-05,3.330405491050369e-05
0.15,1.0,0.00042275409180306007,0.00042254741824727487,0.0004162094292031957,0.0004297121015144949,3.3333333333333335e-05,3.33377048982411e-05,3.337054855087875e-05,3.3287374985972397e-05
0.15,2.0,0.00042275409180306007,0.00042676311432603305,0.00041067591141926953,0.00042681422714090474,3.3333333333333335e-05,3.337614866584104e-05,3.325240652585894e-05,3.332862947579232e-05
0.15,100.0,0.00042275409180306007,0.0004275053612898207,0.0004162138737957932,0.00041979177083680566,3.3333333333333335e-05,3.338988734636274e-05,3.324177534850251e-05,3.3311783292105365e-05
0.2,42.0,0.00042275409180306007,0.0004159227529806549,0.0004255430736580108,0.0004336277875929197,3.3333333333333335e-05,3.325539984962684e-05,3.341307035511396e-05,3.340946327896572e-05
0.2,0.0,0.00042275409180306007,0.0004217540584686156,0.00041423158549729435,0.0004332766647777148,3.3333333333333335e-05,3.336080134194484e-05,3.330767573893997e-05,3.330405491050369e-05
0.2,1.0,0.00042275409180306007,0.00042254741824727487,0.0004162094292031957,0.0004297121015144949,3.3333333333333335e-05,3.33377048982411e-05,3.337054855087875e-05,3.3287374985972397e-05
0.2,2.0,0.00042275409180306007,0.00042676311432603305,0.00041067591141926953,0.00042681422714090474,3.3333333333333335e-05,3.337614866584104e-05,3.325240652585894e-05,3.332862947579232e-05
0.2,100.0,0.00042275409180306007,0.0004275053612898207,0.0004162138737957932,0.00041979177083680566,3.3333333333333335e-05,3.338988734636274e-05,3.324177534850251e-05,3.3311783292105365e-05
0.25,42.0,0.00043863017656144094,0.0004315654966276654,0.0004415258286387324,0.0004498638843517006,3.3333333333333335e-05,3.3261199610067935e-05,3.339417895389861e-05,3.341675515929886e-05
0.25,0.0,0.00043863017656144094,0.00043774570263453233,0.00042969432314410484,0.00044933497783259443,3.3333333333333335e-05,3.336648241456187e-05,3.329403384177243e-05,3.3306334662437176e-05
0.25,1.0,0.00043863017656144094,0.0004382346078202607,0.00043230329899885544,0.00044574819160638683,3.3333333333333335e-05,3.333637009630366e-05,3.336776497591646e-05,3.329282816480956e-05
0.25,2.0,0.00043863017656144094,0.0004427392024178584,0.00042626309765881086,0.0004427792037512361,3.3333333333333335e-05,3.3379841386817586e-05,3.3245906527406104e-05,3.332774403229207e-05
0.25,100.0,0.00043863017656144094,0.00044347700478904845,0.0004318455059613098,0.00043572119070635687,3.3333333333333335e-05,3.3384003567998596e-05,3.32544672454833e-05,3.331085895185284e-05
0.3,42.0,0.00043863017656144094,0.0004315654966276654,0.0004415258286387324,0.0004498638843517006,3.3333333333333335e-05,3.3261199610067935e-05,3.339417895389861e-05,3.341675515929886e-05
0.3,0.0,0.00043863017656144094,0.00043774570263453233,0.00042969432314410484,0.00044933497783259443,3.3333333333333335e-05,3.336648241456187e-05,3.329403384177243e-05,3.3306334662437176e-05
