ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test
0.05,42.0,0.0003838715022228323,0.0004994121816865811,0.0005219104686427403,0.000513769556518378,4.9724031624484105e-05,5.495559239633246e-05,5.54371850934956e-05,5.555278074101996e-05
0.05,0.0,0.00038340665299630805,0.0005029285114598121,0.0005187364364580539,0.000528783340449796,4.972403162448411e-05,5.5507360587959776e-05,5.496638225828304e-05,5.628933537966891e-05
0.05,1.0,0.0003842374473586068,0.0005025550959086725,0.0005118282487619719,0.0005322618692957111,4.972403162448411e-05,5.506979635540331e-05,5.559185220709748e-05,5.6123400773334723e-05
0.05,2.0,0.0003836143515868827,0.0005206035142137518,0.0005049200610658898,0.0004834157746429724,4.9724031624484105e-05,5.547821208781337e-05,5.5628865363745387e-05,5.4758660907584594e-05
0.05,100.0,0.00038433635144935664,0.0005138197983680496,0.0005002523666766451,0.0005081832529781852,4.9724031624484105e-05,5.5356243951867025e-05,5.506790891577916e-05,5.545211118801686e-05
0.1,42.0,0.00038433635144935664,0.0005001901307514552,0.0005219727045679301,0.000514621402415196,4.9724031624484105e-05,5.497426745500349e-05,5.552783124847423e-05,5.574372870083096e-05
0.1,0.0,0.00038433635144935664,0.0005028973934972171,0.0005194210316351431,0.0005301675900321253,4.9724031624484105e-05,5.539038083699176e-05,5.4932733101388347e-05,5.62112927287695e-05
0.1,1.0,0.00038433635144935664,0.0005037064605246862,0.0005132596750413403,0.0005312651242221235,4.9724031624484105e-05,5.510413402474533e-05,5.55643955948872e-05,5.6107673364546735e-05
0.1,2.0,0.00038433635144935664,0.0005214748171664108,0.000506413723270448,0.00048374292269709576,4.9724031624484105e-05,5.5476567211342005e-05,5.5729791302420996e-05,5.469696622445967e-05
0.1,100.0,0.00038433635144935664,0.0005138197983680496,0.0005002523666766451,0.0005081832529781852,4.9724031624484105e-05,5.5356243951867025e-05,5.506790891577916e-05,5.545211118801686e-05
0.15,42.0,0.00038395062549543223,0.0004927840556538537,0.0005154379324229877,0.000511214018827924,4.972403162448411e-05,5.4494297824504815e-05,5.5128865920229195e-05,5.5254245018506335e-05
0.15,0.0,0.0003830604886786836,0.0004952423746988559,0.0005110814176596928,0.0005162186134717299,4.972403162448411e-05,5.487598684055316e-05,5.455763734641013e-05,5.557867973127746e-05
0.15,1.0,0.0003838319405865324,0.0004955535543248056,0.00050479558921551,0.0005180859393602447,4.972403162448411e-05,5.447382611892146e-05,5.52529561617023e-05,5.563020941839496e-05
0.15,2.0,0.0003833473105418582,0.0005142243318817841,0.0004988209403972768,0.00047480087588439024,4.972403162448411e-05,5.486279904643805e-05,5.525082122029141e-05,5.39186117216816e-05
0.15,100.0,0.00038429678981305665,0.000507409498073487,0.0004916015730752452,0.0004945625148639007,4.972403162448411e-05,5.469631000996539e-05,5.4584826429370146e-05,5.479225846115926e-05
0.2,42.0,0.00038429678981305665,0.0004936553586065127,0.0005143799216947588,0.0005004594643805962,4.972403162448411e-05,5.4454020448165795e-05,5.4782527000161905e-05,5.477609472536211e-05
0.2,0.0,0.00038429678981305665,0.000496922744678984,0.0005088409243528553,0.0005148343638894006,4.972403162448411e-05,5.495273010956116e-05,5.407221906271775e-05,5.5180411854050826e-05
0.2,1.0,0.00038429678981305665,0.0004966426830156293,0.0005052934766170295,0.0005136559612554114,4.972403162448411e-05,5.4377465624846776e-05,5.507049962887837e-05,5.5167259800908226e-05
0.2,2.0,0.00038429678981305665,0.0005117971307993769,0.000498571996696517,0.0004743646784788924,4.972403162448411e-05,5.4639347162036304e-05,5.5197329461658916e-05,5.41628518972328e-05
0.2,100.0,0.00038429678981305665,0.000507409498073487,0.0004916015730752452,0.0004945625148639007,4.972403162448411e-05,5.469631000996539e-05,5.4584826429370146e-05,5.479225846115926e-05
0.25,42.0,0.00038434624185843165,0.0004884275408905588,0.0005066626669712078,0.0004998205799579827,4.972403162448411e-05,5.39654115359194e-05,5.424426044962728e-05,5.4749340299882424e-05
0.25,0.0,0.0003826945435429092,0.0004888943103294832,0.0004991321200232264,0.0005001400221692896,4.972403162448411e-05,5.437402641696739e-05,5.3873954880782894e-05,5.470796460381784e-05
0.25,1.0,0.0003841187624497069,0.00049175716288822,0.0004999411870506955,0.0005044637566878826,4.972403162448411e-05,5.409047105847152e-05,5.457039436609584e-05,5.475233352376158e-05
0.25,2.0,0.0003832484064511084,0.0005051690047666495,0.0004874317660875199,0.00046727647063955264,4.972403162448411e-05,5.426078187558062e-05,5.4465221430089306e-05,5.338255100008597e-05
0.25,100.0,0.00038418799531323187,0.0005009369618537344,0.000482950779473845,0.00048796834799904877,4.972403162448411e-05,5.437645918526718e-05,5.3980014606650045e-05,5.418484829104203e-05
0.3,42.0,0.00038418799531323187,0.0004871828223867602,0.0005036131066369012,0.0004964131963707105,4.972403162448411e-05,5.4050614329046556e-05,5.4067553100388544e-05,5.449963250816367e-05
0.3,0.0,0.00038418799531323187,0.0004906991521599912,0.0005028040396094323,0.0005041862901791752,4.972403162448411e-05,5.442313873517483e-05,5.3835403561846174e-05,5.47187121314034e-05
0.3,1.0,0.00038418799531323187,0.0004896100234691674,0.0004975139859682882,0.0005069002446455409,4.972403162448411e-05,5.3989865864335324e-05,5.451968675506649e-05,5.500883080834375e-05
0.3,2.0,0.00038418799531323187,0.0005053868305048143,0.0004912281575241055,0.0004692393589642929,4.972403162448411e-05,5.429742040137186e-05,5.475470528864987e-05,5.3516621037565484e-05
0.3,100.0,0.00038418799531323187,0.0005009369618537344,0.000482950779473845,0.00048796834799904877,4.972403162448411e-05,5.437645918526718e-05,5.3980014606650045e-05,5.418484829104203e-05
