ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.03971828014180067,0.08683725455963727,42
0.05,42,0.04382890955893289,0.08680602069483345,0
0.05,42,0.043150096967799374,0.08602772654280937,1
0.05,42,0.04343335395633142,0.08523201741017127,2
0.05,42,0.04357750523166563,0.08853735809955228,100
0.05,0,0.04421969779603663,0.087775392961582,42
0.05,0,0.04428593296756579,0.08796164856240067,0
0.05,0,0.04273580480686311,0.08896362946317485,1
0.05,0,0.04341434084154447,0.0910340693557145,2
0.05,0,0.04532302812864914,0.0895752190990535,100
0.05,1,0.044665980432467924,0.08613475624119199,42
0.05,1,0.044817369534126496,0.08508454159401116,0
0.05,1,0.04349474018530177,0.08331806838637035,1
0.05,1,0.04366837378254069,0.08456608093846439,2
0.05,1,0.04345742637034976,0.08356003964390758,100
0.05,2,0.041811784586262266,0.085847670967168,42
0.05,2,0.04318548851070625,0.0859091416787067,0
0.05,2,0.04145743644861938,0.08547418930299222,1
0.05,2,0.04285066534872298,0.08800264987511913,2
0.05,2,0.039552788380256595,0.08866257168080668,100
0.05,100,0.045058727139356984,0.08355828841768383,42
0.05,100,0.04622904632930401,0.08851434995340646,0
0.05,100,0.043885341811730864,0.08499633649966273,1
0.05,100,0.04370154347322393,0.08686783601129992,2
0.05,100,0.043387638568881816,0.08355218057164387,100
0.1,42,0.045058727139356984,0.08355828841768383,42
0.1,42,0.04622904632930401,0.08851434995340646,0
0.1,42,0.043885341811730864,0.08499633649966273,1
0.1,42,0.04370154347322393,0.08686783601129992,2
0.1,42,0.043387638568881816,0.08355218057164387,100
0.1,0,0.045058727139356984,0.08355828841768383,42
0.1,0,0.04622904632930401,0.08851434995340646,0
0.1,0,0.043885341811730864,0.08499633649966273,1
0.1,0,0.04370154347322393,0.08686783601129992,2
0.1,0,0.043387638568881816,0.08355218057164387,100
0.1,1,0.045058727139356984,0.08355828841768383,42
0.1,1,0.04622904632930401,0.08851434995340646,0
0.1,1,0.043885341811730864,0.08499633649966273,1
0.1,1,0.04370154347322393,0.08686783601129992,2
0.1,1,0.043387638568881816,0.08355218057164387,100
0.1,2,0.045058727139356984,0.08355828841768383,42
0.1,2,0.04622904632930401,0.08851434995340646,0
0.1,2,0.043885341811730864,0.08499633649966273,1
0.1,2,0.04370154347322393,0.08686783601129992,2
0.1,2,0.043387638568881816,0.08355218057164387,100
0.1,100,0.045058727139356984,0.08355828841768383,42
0.1,100,0.04622904632930401,0.08851434995340646,0
0.1,100,0.043885341811730864,0.08499633649966273,1
0.1,100,0.04370154347322393,0.08686783601129992,2
0.1,100,0.043387638568881816,0.08355218057164387,100
0.15,42,0.04192851361732089,0.14233204327802176,42
0.15,42,0.04578938040700709,0.13945695004861852,0
0.15,42,0.04708083102247355,0.14122554386159997,1
0.15,42,0.04857518249946128,0.13825692331911096,2
0.15,42,0.046140053658381926,0.142695684785485,100
0.15,0,0.043307710583228715,0.1464584253897513,42
0.15,0,0.04758383885683588,0.14640902241251502,0
