ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.01923934289868064,0.03289798738378616,42
0.05,42,0.01673235886212456,0.03152023296849903,0
0.05,42,0.01963791637471165,0.035575834040942785,1
0.05,42,0.018730790378961765,0.035292845283978316,2
0.05,42,0.019855483109406647,0.03453566254564416,100
0.05,0,0.01923934289868064,0.03289798738378616,42
0.05,0,0.01673235886212456,0.03152023296849903,0
0.05,0,0.01963791637471165,0.035575834040942785,1
0.05,0,0.018730790378961765,0.035292845283978316,2
0.05,0,0.019855483109406647,0.03453566254564416,100
0.05,1,0.01923934289868064,0.03289798738378616,42
0.05,1,0.01673235886212456,0.03152023296849903,0
0.05,1,0.01963791637471165,0.035575834040942785,1
0.05,1,0.018730790378961765,0.035292845283978316,2
0.05,1,0.019855483109406647,0.03453566254564416,100
0.05,2,0.01923934289868064,0.03289798738378616,42
0.05,2,0.01673235886212456,0.03152023296849903,0
0.05,2,0.01963791637471165,0.035575834040942785,1
0.05,2,0.018730790378961765,0.035292845283978316,2
0.05,2,0.019855483109406647,0.03453566254564416,100
0.05,100,0.01923934289868064,0.03289798738378616,42
0.05,100,0.01673235886212456,0.03152023296849903,0
0.05,100,0.01963791637471165,0.035575834040942785,1
0.05,100,0.018730790378961765,0.035292845283978316,2
0.05,100,0.019855483109406647,0.03453566254564416,100
0.1,42,0.01923934289868064,0.03289798738378616,42
0.1,42,0.01673235886212456,0.03152023296849903,0
0.1,42,0.01963791637471165,0.035575834040942785,1
0.1,42,0.018730790378961765,0.035292845283978316,2
0.1,42,0.019855483109406647,0.03453566254564416,100
0.1,0,0.01923934289868064,0.03289798738378616,42
0.1,0,0.01673235886212456,0.03152023296849903,0
0.1,0,0.01963791637471165,0.035575834040942785,1
0.1,0,0.018730790378961765,0.035292845283978316,2
0.1,0,0.019855483109406647,0.03453566254564416,100
0.1,1,0.01923934289868064,0.03289798738378616,42
0.1,1,0.01673235886212456,0.03152023296849903,0
0.1,1,0.01963791637471165,0.035575834040942785,1
0.1,1,0.018730790378961765,0.035292845283978316,2
0.1,1,0.019855483109406647,0.03453566254564416,100
0.1,2,0.01923934289868064,0.03289798738378616,42
0.1,2,0.01673235886212456,0.03152023296849903,0
0.1,2,0.01963791637471165,0.035575834040942785,1
0.1,2,0.018730790378961765,0.035292845283978316,2
0.1,2,0.019855483109406647,0.03453566254564416,100
0.1,100,0.01923934289868064,0.03289798738378616,42
0.1,100,0.01673235886212456,0.03152023296849903,0
0.1,100,0.01963791637471165,0.035575834040942785,1
0.1,100,0.018730790378961765,0.035292845283978316,2
0.1,100,0.019855483109406647,0.03453566254564416,100
0.15,42,0.009795234173298407,0.01728347787922853,42
0.15,42,0.008582638496046333,0.01643375248178107,0
0.15,42,0.009293129664203988,0.016653571394924762,1
0.15,42,0.009385455679174953,0.017491189592579004,2
0.15,42,0.007174043581707894,0.014064450564416221,100
0.15,0,0.009795234173298407,0.01728347787922853,42
0.15,0,0.008582638496046333,0.01643375248178107,0
0.15,0,0.009293129664203988,0.016653571394924762,1
0.15,0,0.009385455679174953,0.017491189592579004,2
0.15,0,0.007174043581707894,0.014064450564416221,100
0.15,1,0.009795234173298407,0.01728347787922853,42
0.15,1,0.008582638496046333,0.01643375248178107,0
0.15,1,0.009293129664203988,0.016653571394924762,1
