ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.40107617273912016,0.030049190026562655,42
0.05,42,0.3856226283932645,0.03480943242047408,0
0.05,42,0.3774193552985957,0.03666473662590358,1
0.05,42,0.4019768883387851,0.029889164613730257,2
0.05,42,0.3982503807570907,0.032754744288995,100
0.05,0,0.395998819950687,0.033789268466833264,42
0.05,0,0.41011190538226594,0.028512164650313507,0
0.05,0,0.4062095907507391,0.033546642166252486,1
0.05,0,0.39703229705723186,0.032533085924867866,2
0.05,0,0.4139100462329486,0.035107739149988104,100
0.05,1,0.38451077013062257,0.03699208439896759,42
0.05,1,0.3684612261082393,0.03920079038321532,0
0.05,1,0.39298674997256244,0.03513660341867486,1
0.05,1,0.3909515582328468,0.0379156973967837,2
0.05,1,0.3820743859263911,0.03854009010050644,100
0.05,2,0.3608599339567494,0.040212753229523036,42
0.05,2,0.366204365145897,0.03840263579430917,0
0.05,2,0.35989635060639374,0.037962608011342214,1
0.05,2,0.3865000427948308,0.03556418157668573,2
0.05,2,0.37064640074941396,0.03556905500427198,100
0.05,100,0.37572034554280664,0.03337632586405046,42
0.05,100,0.3886291669348873,0.033418923180592315,0
0.05,100,0.3874485685413004,0.03062972974068481,1
0.05,100,0.4029235432056926,0.0342277327291916,2
0.05,100,0.3930492212441234,0.03362772987588154,100
0.1,42,0.37572034554280664,0.03337632586405046,42
0.1,42,0.3886291669348873,0.033418923180592315,0
0.1,42,0.3874485685413004,0.03062972974068481,1
0.1,42,0.4029235432056926,0.0342277327291916,2
0.1,42,0.3930492212441234,0.03362772987588154,100
0.1,0,0.37572034554280664,0.03337632586405046,42
0.1,0,0.3886291669348873,0.033418923180592315,0
0.1,0,0.3874485685413004,0.03062972974068481,1
0.1,0,0.4029235432056926,0.0342277327291916,2
0.1,0,0.3930492212441234,0.03362772987588154,100
0.1,1,0.37572034554280664,0.03337632586405046,42
0.1,1,0.3886291669348873,0.033418923180592315,0
0.1,1,0.3874485685413004,0.03062972974068481,1
0.1,1,0.4029235432056926,0.0342277327291916,2
0.1,1,0.3930492212441234,0.03362772987588154,100
0.1,2,0.37572034554280664,0.03337632586405046,42
0.1,2,0.3886291669348873,0.033418923180592315,0
0.1,2,0.3874485685413004,0.03062972974068481,1
0.1,2,0.4029235432056926,0.0342277327291916,2
0.1,2,0.3930492212441234,0.03362772987588154,100
0.1,100,0.37572034554280664,0.03337632586405046,42
0.1,100,0.3886291669348873,0.033418923180592315,0
0.1,100,0.3874485685413004,0.03062972974068481,1
0.1,100,0.4029235432056926,0.0342277327291916,2
0.1,100,0.3930492212441234,0.03362772987588154,100
0.15,42,0.29946975757145056,0.04112052406796732,42
0.15,42,0.2886350349902826,0.038918567546490965,0
0.15,42,0.3010099880587127,0.037834773674690944,1
0.15,42,0.3079043950021138,0.039618248660741644,2
0.15,42,0.29507285063154387,0.04213358810630413,100
0.15,0,0.2884539266218199,0.04578629904271834,42
0.15,0,0.29215312715268865,0.043313415966933125,0
0.15,0,0.2985647840391495,0.04507435383702116,1
0.15,0,0.31239716915737953,0.04592759159677243,2
0.15,0,0.3183141761732651,0.04380397737003444,100
0.15,1,0.2736841957542283,0.04239386659862052,42
0.15,1,0.29823867383433783,0.04154386671470824,0
0.15,1,0.31658740093680976,0.04401562726482211,1
0.15,1,0.25434957886431053,0.04286572116676133,2
0.15,1,0.2750714273868244,0.04381414009972785,100
0.15,2,0.3251779468854708,0.04319244885118105,42
0.15,2,0.3034645217950882,0.03803602359459376,0
0.15,2,0.30075543100487606,0.0371569042981621,1
0.15,2,0.317704826977419,0.03894473206344216,2
0.15,2,0.29653022955788,0.03736975301868291,100
0.15,100,0.28983442049365077,0.04598283665137128,42
0.15,100,0.28162561860119567,0.043694290104388696,0
0.15,100,0.2783507654610849,0.04843825822422409,1
0.15,100,0.28318339033048817,0.043272228486348645,2
0.15,100,0.27970986643711093,0.0462664139768169,100
0.2,42,0.28983442049365077,0.04598283665137128,42
0.2,42,0.28162561860119567,0.043694290104388696,0
0.2,42,0.2783507654610849,0.04843825822422409,1
0.2,42,0.28318339033048817,0.043272228486348645,2
0.2,42,0.27970986643711093,0.0462664139768169,100
0.2,0,0.28983442049365077,0.04598283665137128,42
0.2,0,0.28162561860119567,0.043694290104388696,0
0.2,0,0.2783507654610849,0.04843825822422409,1
0.2,0,0.28318339033048817,0.043272228486348645,2
0.2,0,0.27970986643711093,0.0462664139768169,100
0.2,1,0.28983442049365077,0.04598283665137128,42
0.2,1,0.28162561860119567,0.043694290104388696,0
0.2,1,0.2783507654610849,0.04843825822422409,1
0.2,1,0.28318339033048817,0.043272228486348645,2
0.2,1,0.27970986643711093,0.0462664139768169,100
0.2,2,0.28983442049365077,0.04598283665137128,42
0.2,2,0.28162561860119567,0.043694290104388696,0
0.2,2,0.2783507654610849,0.04843825822422409,1
0.2,2,0.28318339033048817,0.043272228486348645,2
0.2,2,0.27970986643711093,0.0462664139768169,100
0.2,100,0.28983442049365077,0.04598283665137128,42
0.2,100,0.28162561860119567,0.043694290104388696,0
0.2,100,0.2783507654610849,0.04843825822422409,1
0.2,100,0.28318339033048817,0.043272228486348645,2
0.2,100,0.27970986643711093,0.0462664139768169,100
0.25,42,0.2134605935668919,0.054620769652850745,42
0.25,42,0.17794691171983373,0.05273294876097785,0
0.25,42,0.19917886144970545,0.055411321786357534,1
0.25,42,0.21817333883477613,0.05338798524081386,2
0.25,42,0.2032488148169119,0.057602258725393894,100
0.25,0,0.24126486495225685,0.061648180019622176,42
0.25,0,0.24356878631141196,0.06333679851658656,0
0.25,0,0.24006734727143725,0.06520927994121507,1
0.25,0,0.26498017637759563,0.059687533772989146,2
0.25,0,0.22676088970364164,0.06351600903641763,100
0.25,1,0.2515236731432071,0.05722088163281367,42
0.25,1,0.21608317311404387,0.06037996571208117,0
0.25,1,0.24660103865955163,0.06295114957794774,1
0.25,1,0.22507256085223493,0.06292160558061138,2
0.25,1,0.2348101932514867,0.06026870930823779,100
0.25,2,0.23862320510676585,0.059030437344352704,42
0.25,2,0.2508689397514067,0.06034134546387168,0
0.25,2,0.2228164722387949,0.05609911532326237,1
0.25,2,0.2334250158102387,0.0556762796419477,2
0.25,2,0.23986278935408312,0.05341202054575627,100
0.25,100,0.2147934017293507,0.057639074322064734,42
0.25,100,0.24734833140596982,0.05804722192323864,0
0.25,100,0.2065920398869279,0.056959239573012105,1
0.25,100,0.23578156278329607,0.056803964332810666,2
0.25,100,0.2324598249919209,0.05815350875125579,100
0.3,42,0.2147934017293507,0.057639074322064734,42
0.3,42,0.24734833140596982,0.05804722192323864,0
0.3,42,0.2065920398869279,0.056959239573012105,1
0.3,42,0.23578156278329607,0.056803964332810666,2
0.3,42,0.2324598249919209,0.05815350875125579,100
0.3,0,0.2147934017293507,0.057639074322064734,42
0.3,0,0.24734833140596982,0.05804722192323864,0
0.3,0,0.2065920398869279,0.056959239573012105,1
0.3,0,0.23578156278329607,0.056803964332810666,2
0.3,0,0.2324598249919209,0.05815350875125579,100
0.3,1,0.2147934017293507,0.057639074322064734,42
0.3,1,0.24734833140596982,0.05804722192323864,0
0.3,1,0.2065920398869279,0.056959239573012105,1
0.3,1,0.23578156278329607,0.056803964332810666,2
0.3,1,0.2324598249919209,0.05815350875125579,100
