ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.24390278527211776,0.020797028051513424,42
0.05,42,0.24395665183853116,0.018041296929616698,0
0.05,42,0.2333480075918552,0.02455942174695265,1
0.05,42,0.24551658629140302,0.019818672994038635,2
0.05,42,0.22139901393304035,0.02235877204821638,100
0.05,0,0.24390278527211776,0.020797028051513424,42
0.05,0,0.24395665183853116,0.018041296929616698,0
0.05,0,0.2333480075918552,0.02455942174695265,1
0.05,0,0.24551658629140302,0.019818672994038635,2
0.05,0,0.22139901393304035,0.02235877204821638,100
0.05,1,0.24390278527211776,0.020797028051513424,42
0.05,1,0.24395665183853116,0.018041296929616698,0
0.05,1,0.2333480075918552,0.02455942174695265,1
0.05,1,0.24551658629140302,0.019818672994038635,2
0.05,1,0.22139901393304035,0.02235877204821638,100
0.05,2,0.24390278527211776,0.020797028051513424,42
0.05,2,0.24395665183853116,0.018041296929616698,0
0.05,2,0.2333480075918552,0.02455942174695265,1
0.05,2,0.24551658629140302,0.019818672994038635,2
0.05,2,0.22139901393304035,0.02235877204821638,100
0.05,100,0.24390278527211776,0.020797028051513424,42
0.05,100,0.24395665183853116,0.018041296929616698,0
0.05,100,0.2333480075918552,0.02455942174695265,1
0.05,100,0.24551658629140302,0.019818672994038635,2
0.05,100,0.22139901393304035,0.02235877204821638,100
0.1,42,0.24390278527211776,0.020797028051513424,42
0.1,42,0.24395665183853116,0.018041296929616698,0
0.1,42,0.2333480075918552,0.02455942174695265,1
0.1,42,0.24551658629140302,0.019818672994038635,2
0.1,42,0.22139901393304035,0.02235877204821638,100
0.1,0,0.24390278527211776,0.020797028051513424,42
0.1,0,0.24395665183853116,0.018041296929616698,0
0.1,0,0.2333480075918552,0.02455942174695265,1
0.1,0,0.24551658629140302,0.019818672994038635,2
0.1,0,0.22139901393304035,0.02235877204821638,100
0.1,1,0.24390278527211776,0.020797028051513424,42
0.1,1,0.24395665183853116,0.018041296929616698,0
0.1,1,0.2333480075918552,0.02455942174695265,1
0.1,1,0.24551658629140302,0.019818672994038635,2
0.1,1,0.22139901393304035,0.02235877204821638,100
0.1,2,0.24390278527211776,0.020797028051513424,42
0.1,2,0.24395665183853116,0.018041296929616698,0
0.1,2,0.2333480075918552,0.02455942174695265,1
0.1,2,0.24551658629140302,0.019818672994038635,2
0.1,2,0.22139901393304035,0.02235877204821638,100
0.1,100,0.24390278527211776,0.020797028051513424,42
0.1,100,0.24395665183853116,0.018041296929616698,0
0.1,100,0.2333480075918552,0.02455942174695265,1
0.1,100,0.24551658629140302,0.019818672994038635,2
0.1,100,0.22139901393304035,0.02235877204821638,100
0.15,42,0.0914418271957567,0.013927627215049502,42
0.15,42,0.12165033599955165,0.012552055815963387,0
0.15,42,0.09242774505241971,0.013581336288466667,1
0.15,42,0.09915731665162883,0.014244996197993893,2
0.15,42,0.09171030730779886,0.013719324040386798,100
0.15,0,0.0914418271957567,0.013927627215049502,42
0.15,0,0.12165033599955165,0.012552055815963387,0
0.15,0,0.09242774505241971,0.013581336288466667,1
0.15,0,0.09915731665162883,0.014244996197993893,2
0.15,0,0.09171030730779886,0.013719324040386798,100
0.15,1,0.0914418271957567,0.013927627215049502,42
0.15,1,0.12165033599955165,0.012552055815963387,0
0.15,1,0.09242774505241971,0.013581336288466667,1
0.15,1,0.09915731665162883,0.014244996197993893,2
0.15,1,0.09171030730779886,0.013719324040386798,100
0.15,2,0.0914418271957567,0.013927627215049502,42
0.15,2,0.12165033599955165,0.012552055815963387,0
0.15,2,0.09242774505241971,0.013581336288466667,1
0.15,2,0.09915731665162883,0.014244996197993893,2
0.15,2,0.09171030730779886,0.013719324040386798,100
0.15,100,0.0914418271957567,0.013927627215049502,42
0.15,100,0.12165033599955165,0.012552055815963387,0
0.15,100,0.09242774505241971,0.013581336288466667,1
0.15,100,0.09915731665162883,0.014244996197993893,2
0.15,100,0.09171030730779886,0.013719324040386798,100
0.2,42,0.0914418271957567,0.013927627215049502,42
0.2,42,0.12165033599955165,0.012552055815963387,0
0.2,42,0.09242774505241971,0.013581336288466667,1
0.2,42,0.09915731665162883,0.014244996197993893,2
0.2,42,0.09171030730779886,0.013719324040386798,100
0.2,0,0.0914418271957567,0.013927627215049502,42
0.2,0,0.12165033599955165,0.012552055815963387,0
0.2,0,0.09242774505241971,0.013581336288466667,1
0.2,0,0.09915731665162883,0.014244996197993893,2
0.2,0,0.09171030730779886,0.013719324040386798,100
0.2,1,0.0914418271957567,0.013927627215049502,42
0.2,1,0.12165033599955165,0.012552055815963387,0
0.2,1,0.09242774505241971,0.013581336288466667,1
0.2,1,0.09915731665162883,0.014244996197993893,2
0.2,1,0.09171030730779886,0.013719324040386798,100
0.2,2,0.0914418271957567,0.013927627215049502,42
0.2,2,0.12165033599955165,0.012552055815963387,0
0.2,2,0.09242774505241971,0.013581336288466667,1
0.2,2,0.09915731665162883,0.014244996197993893,2
0.2,2,0.09171030730779886,0.013719324040386798,100
0.2,100,0.0914418271957567,0.013927627215049502,42
0.2,100,0.12165033599955165,0.012552055815963387,0
0.2,100,0.09242774505241971,0.013581336288466667,1
0.2,100,0.09915731665162883,0.014244996197993893,2
0.2,100,0.09171030730779886,0.013719324040386798,100
0.25,42,0.07340641869797904,0.012558997632935123,42
0.25,42,0.09993987920296328,0.014184134619113489,0
0.25,42,0.09302972017420329,0.01129331870612991,1
0.25,42,0.08186483668552363,0.013746893912890953,2
0.25,42,0.08968559806449716,0.0095791992396951,100
0.25,0,0.07340641869797904,0.012558997632935123,42
0.25,0,0.09993987920296328,0.014184134619113489,0
0.25,0,0.09302972017420329,0.01129331870612991,1
0.25,0,0.08186483668552363,0.013746893912890953,2
0.25,0,0.08968559806449716,0.0095791992396951,100
0.25,1,0.07340641869797904,0.012558997632935123,42
0.25,1,0.09993987920296328,0.014184134619113489,0
0.25,1,0.09302972017420329,0.01129331870612991,1
0.25,1,0.08186483668552363,0.013746893912890953,2
0.25,1,0.08968559806449716,0.0095791992396951,100
0.25,2,0.07340641869797904,0.012558997632935123,42
0.25,2,0.09993987920296328,0.014184134619113489,0
0.25,2,0.09302972017420329,0.01129331870612991,1
0.25,2,0.08186483668552363,0.013746893912890953,2
0.25,2,0.08968559806449716,0.0095791992396951,100
0.25,100,0.07340641869797904,0.012558997632935123,42
0.25,100,0.09993987920296328,0.014184134619113489,0
0.25,100,0.09302972017420329,0.01129331870612991,1
0.25,100,0.08186483668552363,0.013746893912890953,2
0.25,100,0.08968559806449716,0.0095791992396951,100
0.3,42,0.07340641869797904,0.012558997632935123,42
0.3,42,0.09993987920296328,0.014184134619113489,0
0.3,42,0.09302972017420329,0.01129331870612991,1
0.3,42,0.08186483668552363,0.013746893912890953,2
0.3,42,0.08968559806449716,0.0095791992396951,100
0.3,0,0.07340641869797904,0.012558997632935123,42
0.3,0,0.09993987920296328,0.014184134619113489,0
0.3,0,0.09302972017420329,0.01129331870612991,1
0.3,0,0.08186483668552363,0.013746893912890953,2
0.3,0,0.08968559806449716,0.0095791992396951,100
0.3,1,0.07340641869797904,0.012558997632935123,42
0.3,1,0.09993987920296328,0.014184134619113489,0
0.3,1,0.09302972017420329,0.01129331870612991,1
0.3,1,0.08186483668552363,0.013746893912890953,2
0.3,1,0.08968559806449716,0.0095791992396951,100
0.3,2,0.07340641869797904,0.012558997632935123,42
0.3,2,0.09993987920296328,0.014184134619113489,0
0.3,2,0.09302972017420329,0.01129331870612991,1
