ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.005844735232316823,0.22145297845679432,42
0.05,42,0.018945412222581823,0.0239975503933553,0
0.05,42,0.011770298785043576,0.1726913346084845,1
0.05,42,0.009832595483663756,0.1810035901353604,2
0.05,42,0.0103524191125208,0.19135069647012387,100
0.05,0,0.012015657357297082,0.18265529086650995,42
0.05,0,0.011965920071834146,0.1615267133065245,0
0.05,0,0.008810648827423712,0.21535452385148607,1
0.05,0,0.008871471505779716,0.1760501042890433,2
0.05,0,0.009516986187599965,0.16785917211709867,100
0.05,1,0.008989910757376441,0.18344715586739926,42
0.05,1,0.00934334447622714,0.17300278452809179,0
0.05,1,0.01015076656066363,0.2690883772333648,1
0.05,1,0.008719922719995643,0.21651535767759217,2
0.05,1,0.0086299072674326,0.19229774306064631,100
0.05,2,0.010358735630900093,0.17209192487939445,42
0.05,2,0.00986521344935962,0.18708113120391284,0
0.05,2,0.007721915700687957,0.1781889238119475,1
0.05,2,0.008219263457399668,0.15285447844805375,2
0.05,2,0.011136535162635021,0.18464112914202327,100
0.05,100,0.009556946062534601,0.24133729697706333,42
0.05,100,0.01025290921465456,0.15557815579600978,0
0.05,100,0.01136047707188176,0.19615064962361006,1
0.05,100,0.008044648556491816,0.1801408491741962,2
0.05,100,0.011007122230506837,0.19179892461432838,100
0.1,42,0.009556946062534601,0.24133729697706333,42
0.1,42,0.01025290921465456,0.15557815579600978,0
0.1,42,0.01136047707188176,0.19615064962361006,1
0.1,42,0.008044648556491816,0.1801408491741962,2
0.1,42,0.011007122230506837,0.19179892461432838,100
0.1,0,0.009556946062534601,0.24133729697706333,42
0.1,0,0.01025290921465456,0.15557815579600978,0
0.1,0,0.01136047707188176,0.19615064962361006,1
0.1,0,0.008044648556491816,0.1801408491741962,2
0.1,0,0.011007122230506837,0.19179892461432838,100
0.1,1,0.009556946062534601,0.24133729697706333,42
0.1,1,0.01025290921465456,0.15557815579600978,0
0.1,1,0.01136047707188176,0.19615064962361006,1
0.1,1,0.008044648556491816,0.1801408491741962,2
0.1,1,0.011007122230506837,0.19179892461432838,100
0.1,2,0.009556946062534601,0.24133729697706333,42
0.1,2,0.01025290921465456,0.15557815579600978,0
0.1,2,0.01136047707188176,0.19615064962361006,1
0.1,2,0.008044648556491816,0.1801408491741962,2
0.1,2,0.011007122230506837,0.19179892461432838,100
0.1,100,0.009556946062534601,0.24133729697706333,42
0.1,100,0.01025290921465456,0.15557815579600978,0
0.1,100,0.01136047707188176,0.19615064962361006,1
0.1,100,0.008044648556491816,0.1801408491741962,2
0.1,100,0.011007122230506837,0.19179892461432838,100
0.15,42,0.007555886996873458,0.23459057332092315,42
0.15,42,0.009093149810196415,0.16631757898615074,0
0.15,42,0.009140585018205374,0.22650251692085815,1
0.15,42,0.00900035700900051,0.17571023227878116,2
0.15,42,0.007885220367579958,0.20610042975927176,100
0.15,0,0.0065384308264008605,0.3133286790477165,42
0.15,0,0.0066184066112340255,0.18724469223590814,0
0.15,0,0.009186903514265857,0.15941951517253816,1
0.15,0,0.009483531963916988,0.1354047000545466,2
0.15,0,0.00989321695435097,0.17332766522607526,100
0.15,1,0.008724177188644775,0.18279539407477624,42
0.15,1,0.00941629837061025,0.17808915667182945,0
0.15,1,0.008488202013288227,0.18314555193530396,1
0.15,1,0.012571951322818865,0.24450651560538514,2
0.15,1,0.010050499938286994,0.19960112196899615,100
0.15,2,0.012550528801645639,0.057518154007150074,42
0.15,2,0.010992193318838257,0.19865795508836392,0
0.15,2,0.011862612875225852,0.31362366805678504,1
0.15,2,0.010268179329469447,0.15747910219737823,2
0.15,2,0.009735004311869761,0.1739137292826398,100
0.15,100,0.020403801921673997,0.020880453841657966,42
0.15,100,0.008906515072700611,0.16918947369376347,0
0.15,100,0.009331999791257652,0.15907681533734308,1
0.15,100,0.006655080238730901,0.17840444256327165,2
0.15,100,0.010382976369769316,0.25614053416770033,100
0.2,42,0.020403801921673997,0.020880453841657966,42
0.2,42,0.008906515072700611,0.16918947369376347,0
0.2,42,0.009331999791257652,0.15907681533734308,1
0.2,42,0.006655080238730901,0.17840444256327165,2
0.2,42,0.010382976369769316,0.25614053416770033,100
0.2,0,0.020403801921673997,0.020880453841657966,42
0.2,0,0.008906515072700611,0.16918947369376347,0
0.2,0,0.009331999791257652,0.15907681533734308,1
0.2,0,0.006655080238730901,0.17840444256327165,2
0.2,0,0.010382976369769316,0.25614053416770033,100
0.2,1,0.020403801921673997,0.020880453841657966,42
0.2,1,0.008906515072700611,0.16918947369376347,0
0.2,1,0.009331999791257652,0.15907681533734308,1
0.2,1,0.006655080238730901,0.17840444256327165,2
0.2,1,0.010382976369769316,0.25614053416770033,100
0.2,2,0.020403801921673997,0.020880453841657966,42
0.2,2,0.008906515072700611,0.16918947369376347,0
0.2,2,0.009331999791257652,0.15907681533734308,1
0.2,2,0.006655080238730901,0.17840444256327165,2
0.2,2,0.010382976369769316,0.25614053416770033,100
0.2,100,0.020403801921673997,0.020880453841657966,42
0.2,100,0.008906515072700611,0.16918947369376347,0
0.2,100,0.009331999791257652,0.15907681533734308,1
0.2,100,0.006655080238730901,0.17840444256327165,2
0.2,100,0.010382976369769316,0.25614053416770033,100
0.25,42,0.010773809755724593,0.1739477818888665,42
0.25,42,0.013287057446463139,0.1729212301459907,0
0.25,42,0.010381813265460295,0.19686816448961517,1
0.25,42,0.01228416687903576,0.29043949332573826,2
0.25,42,0.011225527689311485,0.22621213963062173,100
0.25,0,0.010337293170946305,0.2831396757024612,42
0.25,0,0.01685518811830527,0.06459146005848802,0
0.25,0,0.008214739827798226,0.17605433835104686,1
0.25,0,0.010438109520133713,0.25004499825886073,2
0.25,0,0.012139381106723642,0.1932592910041928,100
0.25,1,0.005863883551709906,0.25822529782056747,42
0.25,1,0.007784363115624673,0.18650038190190746,0
0.25,1,0.0084892573901542,0.23097368050815265,1
0.25,1,0.010656868563069731,0.17368474971063116,2
0.25,1,0.008205016581404928,0.1826070502079282,100
0.25,2,0.009831514275239869,0.08910949861720628,42
0.25,2,0.008155552712991255,0.15939792592664112,0
0.25,2,0.014679252735171044,0.24744269460482246,1
0.25,2,0.013658423733861605,0.2069726468817909,2
0.25,2,0.008517460124233243,0.21032377831497595,100
0.25,100,0.009363627366646627,0.16252009333155432,42
0.25,100,0.007762622993728502,0.16416436415353855,0
0.25,100,0.009694651648754738,0.143596217183492,1
0.25,100,0.009615340929943303,0.16839326543124025,2
0.25,100,0.013220046632286889,0.14974302938281997,100
0.3,42,0.009363627366646627,0.16252009333155432,42
0.3,42,0.007762622993728502,0.16416436415353855,0
0.3,42,0.009694651648754738,0.143596217183492,1
0.3,42,0.009615340929943303,0.16839326543124025,2
0.3,42,0.013220046632286889,0.14974302938281997,100
0.3,0,0.009363627366646627,0.16252009333155432,42
0.3,0,0.007762622993728502,0.16416436415353855,0
0.3,0,0.009694651648754738,0.143596217183492,1
0.3,0,0.009615340929943303,0.16839326543124025,2
0.3,0,0.013220046632286889,0.14974302938281997,100
0.3,1,0.009363627366646627,0.16252009333155432,42
0.3,1,0.007762622993728502,0.16416436415353855,0
0.3,1,0.009694651648754738,0.143596217183492,1
0.3,1,0.009615340929943303,0.16839326543124025,2
0.3,1,0.013220046632286889,0.14974302938281997,100
0.3,2,0.009363627366646627,0.16252009333155432,42
0.3,2,0.007762622993728502,0.16416436415353855,0
0.3,2,0.009694651648754738,0.143596217183492,1
0.3,2,0.009615340929943303,0.16839326543124025,2
0.3,2,0.013220046632286889,0.14974302938281997,100
0.3,100,0.009363627366646627,0.16252009333155432,42
0.3,100,0.007762622993728502,0.16416436415353855,0
0.3,100,0.009694651648754738,0.143596217183492,1
0.3,100,0.009615340929943303,0.16839326543124025,2
0.3,100,0.013220046632286889,0.14974302938281997,100
