ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.008439039901114314,0.20561445656871918,42
0.05,42,0.010565951268881473,0.18218998694586797,0
0.05,42,0.00929671995778177,0.21486390980255096,1
0.05,42,0.010923273021371383,0.345308088319075,2
0.05,42,0.009902880646184106,0.19484856795513172,100
0.05,0,0.008439039901114314,0.20561445656871918,42
0.05,0,0.010565951268881473,0.18218998694586797,0
0.05,0,0.00929671995778177,0.21486390980255096,1
0.05,0,0.010923273021371383,0.345308088319075,2
0.05,0,0.009902880646184106,0.19484856795513172,100
0.05,1,0.008439039901114314,0.20561445656871918,42
0.05,1,0.010565951268881473,0.18218998694586797,0
0.05,1,0.00929671995778177,0.21486390980255096,1
0.05,1,0.010923273021371383,0.345308088319075,2
0.05,1,0.009902880646184106,0.19484856795513172,100
0.05,2,0.008439039901114314,0.20561445656871918,42
0.05,2,0.010565951268881473,0.18218998694586797,0
0.05,2,0.00929671995778177,0.21486390980255096,1
0.05,2,0.010923273021371383,0.345308088319075,2
0.05,2,0.009902880646184106,0.19484856795513172,100
0.05,100,0.008439039901114314,0.20561445656871918,42
0.05,100,0.010565951268881473,0.18218998694586797,0
0.05,100,0.00929671995778177,0.21486390980255096,1
0.05,100,0.010923273021371383,0.345308088319075,2
0.05,100,0.009902880646184106,0.19484856795513172,100
0.1,42,0.008439039901114314,0.20561445656871918,42
0.1,42,0.010565951268881473,0.18218998694586797,0
0.1,42,0.00929671995778177,0.21486390980255096,1
0.1,42,0.010923273021371383,0.345308088319075,2
0.1,42,0.009902880646184106,0.19484856795513172,100
0.1,0,0.008439039901114314,0.20561445656871918,42
0.1,0,0.010565951268881473,0.18218998694586797,0
0.1,0,0.00929671995778177,0.21486390980255096,1
0.1,0,0.010923273021371383,0.345308088319075,2
0.1,0,0.009902880646184106,0.19484856795513172,100
0.1,1,0.008439039901114314,0.20561445656871918,42
0.1,1,0.010565951268881473,0.18218998694586797,0
0.1,1,0.00929671995778177,0.21486390980255096,1
0.1,1,0.010923273021371383,0.345308088319075,2
0.1,1,0.009902880646184106,0.19484856795513172,100
