ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.0238948695165719,0.2901460586649077,42
0.05,42,0.015163593004367237,0.27663941402149367,0
0.05,42,0.013674249202221917,0.3751590154755817,1
0.05,42,0.01008973519645898,0.16999681321931137,2
0.05,42,0.00853167948486574,0.18712718189921929,100
0.05,0,0.0238948695165719,0.2901460586649077,42
0.05,0,0.015163593004367237,0.27663941402149367,0
0.05,0,0.013674249202221917,0.3751590154755817,1
0.05,0,0.01008973519645898,0.16999681321931137,2
0.05,0,0.00853167948486574,0.18712718189921929,100
0.05,1,0.0238948695165719,0.2901460586649077,42
0.05,1,0.015163593004367237,0.27663941402149367,0
0.05,1,0.013674249202221917,0.3751590154755817,1
0.05,1,0.01008973519645898,0.16999681321931137,2
0.05,1,0.00853167948486574,0.18712718189921929,100
0.05,2,0.0238948695165719,0.2901460586649077,42
0.05,2,0.015163593004367237,0.27663941402149367,0
0.05,2,0.013674249202221917,0.3751590154755817,1
0.05,2,0.01008973519645898,0.16999681321931137,2
0.05,2,0.00853167948486574,0.18712718189921929,100
0.05,100,0.0238948695165719,0.2901460586649077,42
0.05,100,0.015163593004367237,0.27663941402149367,0
0.05,100,0.013674249202221917,0.3751590154755817,1
0.05,100,0.01008973519645898,0.16999681321931137,2
0.05,100,0.00853167948486574,0.18712718189921929,100
0.1,42,0.0238948695165719,0.2901460586649077,42
0.1,42,0.015163593004367237,0.27663941402149367,0
0.1,42,0.013674249202221917,0.3751590154755817,1
0.1,42,0.01008973519645898,0.16999681321931137,2
0.1,42,0.00853167948486574,0.18712718189921929,100
0.1,0,0.0238948695165719,0.2901460586649077,42
0.1,0,0.015163593004367237,0.27663941402149367,0
0.1,0,0.013674249202221917,0.3751590154755817,1
0.1,0,0.01008973519645898,0.16999681321931137,2
0.1,0,0.00853167948486574,0.18712718189921929,100
0.1,1,0.0238948695165719,0.2901460586649077,42
0.1,1,0.015163593004367237,0.27663941402149367,0
0.1,1,0.013674249202221917,0.3751590154755817,1
0.1,1,0.01008973519645898,0.16999681321931137,2
0.1,1,0.00853167948486574,0.18712718189921929,100
0.1,2,0.0238948695165719,0.2901460586649077,42
0.1,2,0.015163593004367237,0.27663941402149367,0
0.1,2,0.013674249202221917,0.3751590154755817,1
0.1,2,0.01008973519645898,0.16999681321931137,2
0.1,2,0.00853167948486574,0.18712718189921929,100
0.1,100,0.0238948695165719,0.2901460586649077,42
0.1,100,0.015163593004367237,0.27663941402149367,0
0.1,100,0.013674249202221917,0.3751590154755817,1
0.1,100,0.01008973519645898,0.16999681321931137,2
0.1,100,0.00853167948486574,0.18712718189921929,100
0.15,42,0.025877291344336383,0.2806423500472555,42
0.15,42,0.010698162463972512,0.1917919359978168,0
0.15,42,0.012494502536693224,0.1942770819319331,1
0.15,42,0.007025584732116467,0.2071477912145992,2
0.15,42,0.011169894560582034,0.19444977749811912,100
0.15,0,0.025877291344336383,0.2806423500472555,42
0.15,0,0.010698162463972512,0.1917919359978168,0
0.15,0,0.012494502536693224,0.1942770819319331,1
0.15,0,0.007025584732116467,0.2071477912145992,2
0.15,0,0.011169894560582034,0.19444977749811912,100
0.15,1,0.025877291344336383,0.2806423500472555,42
0.15,1,0.010698162463972512,0.1917919359978168,0
0.15,1,0.012494502536693224,0.1942770819319331,1
0.15,1,0.007025584732116467,0.2071477912145992,2
0.15,1,0.011169894560582034,0.19444977749811912,100
0.15,2,0.025877291344336383,0.2806423500472555,42
0.15,2,0.010698162463972512,0.1917919359978168,0
0.15,2,0.012494502536693224,0.1942770819319331,1
0.15,2,0.007025584732116467,0.2071477912145992,2
0.15,2,0.011169894560582034,0.19444977749811912,100
0.15,100,0.025877291344336383,0.2806423500472555,42
0.15,100,0.010698162463972512,0.1917919359978168,0
0.15,100,0.012494502536693224,0.1942770819319331,1
0.15,100,0.007025584732116467,0.2071477912145992,2
0.15,100,0.011169894560582034,0.19444977749811912,100
0.2,42,0.025877291344336383,0.2806423500472555,42
0.2,42,0.010698162463972512,0.1917919359978168,0
0.2,42,0.012494502536693224,0.1942770819319331,1
0.2,42,0.007025584732116467,0.2071477912145992,2
0.2,42,0.011169894560582034,0.19444977749811912,100
0.2,0,0.025877291344336383,0.2806423500472555,42
0.2,0,0.010698162463972512,0.1917919359978168,0
0.2,0,0.012494502536693224,0.1942770819319331,1
0.2,0,0.007025584732116467,0.2071477912145992,2
0.2,0,0.011169894560582034,0.19444977749811912,100
0.2,1,0.025877291344336383,0.2806423500472555,42
0.2,1,0.010698162463972512,0.1917919359978168,0
0.2,1,0.012494502536693224,0.1942770819319331,1
0.2,1,0.007025584732116467,0.2071477912145992,2
0.2,1,0.011169894560582034,0.19444977749811912,100
0.2,2,0.025877291344336383,0.2806423500472555,42
0.2,2,0.010698162463972512,0.1917919359978168,0
0.2,2,0.012494502536693224,0.1942770819319331,1
